DATE,TIME,MODE,CNO,LAT,LON,ALT,ROLL,PITCH,YAW,GPS_VAL,RSSI,BAT,ACC_N,ACC_E,ACC_D,VEL_N,VEL_E,VEL_D,ODOM_X,ODOM_Y,ODOM_TH
20241113.0,6500730.0,115.0,36.0,35.5090826,128.2946559,79.124,-0.7062788009643555,-1.8449318408966064,236.55723571777344,159.0,-52.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,7.946172369026297,-4.316139406431919,-1.3927288458744242
20241113.0,6500740.0,115.0,36.0,35.5090827,128.2946559,79.133,-0.6854068636894226,-1.658844232559204,236.57257080078125,159.0,-52.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,7.94643776929722,-4.31761406769848,-1.3927288458744242
20241113.0,6500740.0,115.0,36.0,35.5090827,128.2946559,79.133,-0.6854068636894226,-1.658844232559204,236.57257080078125,159.0,-52.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,7.9467040627451775,-4.319093691784303,-1.3927288458744242
20241113.0,6500740.0,115.0,36.0,35.5090827,128.2946559,79.133,-0.6854068636894226,-1.658844232559204,236.57257080078125,159.0,-52.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,7.946970425873612,-4.320573703040423,-1.3927288458744242
20241113.0,6500740.0,115.0,36.0,35.5090827,128.2946559,79.133,-0.6854068636894226,-1.658844232559204,236.57257080078125,159.0,-52.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,7.9472350153171565,-4.322043859052619,-1.3927288458744242
20241113.0,6500740.0,115.0,36.0,35.5090827,128.2946559,79.133,-0.6854068636894226,-1.658844232559204,236.57257080078125,159.0,-52.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,7.94750087167848,-4.32352105452476,-1.3927288458744242
20241113.0,6500740.0,115.0,36.0,35.5090827,128.2946559,79.133,-0.6854068636894226,-1.658844232559204,236.57257080078125,159.0,-52.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,7.947766614017204,-4.324997616445507,-1.3927288458744242
20241113.0,6500740.0,115.0,36.0,35.5090827,128.2946559,79.133,-0.6854068636894226,-1.658844232559204,236.57257080078125,159.0,-52.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,7.948032204325794,-4.32647333363106,-1.3927288458744242
20241113.0,6500740.0,115.0,36.0,35.5090827,128.2946559,79.133,-0.6854068636894226,-1.658844232559204,236.57257080078125,159.0,-52.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,7.948297997341228,-4.327950177130204,-1.3927288458744242
20241113.0,6500740.0,115.0,36.0,35.5090827,128.2946559,79.133,-0.6854068636894226,-1.658844232559204,236.57257080078125,159.0,-52.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,7.948563663664885,-4.329426316683354,-1.3927288458744242
20241113.0,6500740.0,115.0,36.0,35.5090827,128.2946559,79.133,-0.6854068636894226,-1.658844232559204,236.57257080078125,159.0,-52.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,7.948828911905674,-4.330900133214722,-1.3927288458744242
20241113.0,6500750.0,115.0,36.0,35.5090828,128.29465580000002,79.135,-0.46675753593444824,-1.573806881904602,236.3702392578125,159.0,-52.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,7.949094318511186,-4.3323748296785825,-1.3927288458744242
20241113.0,6500750.0,115.0,36.0,35.5090828,128.29465580000002,79.135,-0.46675753593444824,-1.573806881904602,236.3702392578125,159.0,-52.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,7.94936063096291,-4.333854559356304,-1.3927288458744242
20241113.0,6500750.0,115.0,36.0,35.5090828,128.29465580000002,79.135,-0.46675753593444824,-1.573806881904602,236.3702392578125,159.0,-52.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,7.949626398639989,-4.33533126206625,-1.3927288458744242
20241113.0,6500750.0,115.0,36.0,35.5090828,128.29465580000002,79.135,-0.46675753593444824,-1.573806881904602,236.3702392578125,159.0,-52.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,7.949892140978712,-4.336807823986996,-1.3927288458744242
20241113.0,6500750.0,115.0,36.0,35.5090828,128.29465580000002,79.135,-0.46675753593444824,-1.573806881904602,236.3702392578125,159.0,-52.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,7.950159796363282,-4.3382950154922595,-1.3927288458744242
20241113.0,6500750.0,115.0,36.0,35.5090828,128.29465580000002,79.135,-0.46675753593444824,-1.573806881904602,236.3702392578125,159.0,-52.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,7.95042436680306,-4.339765065912557,-1.3927288458744242
20241113.0,6500750.0,115.0,36.0,35.5090828,128.29465580000002,79.135,-0.46675753593444824,-1.573806881904602,236.3702392578125,159.0,-52.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,7.950689659385971,-4.341239128825023,-1.3927288458744242
20241113.0,6500750.0,115.0,36.0,35.5090828,128.29465580000002,79.135,-0.46675753593444824,-1.573806881904602,236.3702392578125,159.0,-52.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,7.950953754731582,-4.342706539447842,-1.3927288458744242
20241113.0,6500750.0,115.0,36.0,35.5090828,128.29465580000002,79.135,-0.46675753593444824,-1.573806881904602,236.3702392578125,159.0,-52.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,7.951219978499061,-4.344185776363367,-1.3927288458744242
20241113.0,6500750.0,115.0,36.0,35.5090828,128.29465580000002,79.135,-0.46675753593444824,-1.573806881904602,236.3702392578125,159.0,-52.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,7.9514853661008065,-4.345660367235329,-1.3927288458744242
20241113.0,6500760.0,115.0,36.0,35.5090829,128.29465580000002,79.14,-0.5950835347175598,-1.6352375745773315,236.5064239501953,159.0,-52.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,7.951750956409397,-4.347136084420882,-1.3927288458744242
20241113.0,6500760.0,115.0,36.0,35.5090829,128.29465580000002,79.14,-0.5950835347175598,-1.6352375745773315,236.5064239501953,159.0,-52.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,7.952016996473798,-4.348614300614715,-1.3927288458744242
20241113.0,6500760.0,115.0,36.0,35.5090829,128.29465580000002,79.14,-0.5950835347175598,-1.6352375745773315,236.5064239501953,159.0,-52.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,7.9522824157484875,-4.350089067473175,-1.3927288458744242
20241113.0,6500760.0,115.0,36.0,35.5090829,128.29465580000002,79.14,-0.5950835347175598,-1.6352375745773315,236.5064239501953,159.0,-52.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,7.952548569835489,-4.351567917218404,-1.3927288458744242
20241113.0,6500760.0,115.0,36.0,35.5090829,128.29465580000002,79.14,-0.5950835347175598,-1.6352375745773315,236.5064239501953,159.0,-52.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,7.952814546554001,-4.353045781439239,-1.3927288458744242
20241113.0,6500760.0,115.0,36.0,35.5090829,128.29465580000002,79.14,-0.5950835347175598,-1.6352375745773315,236.5064239501953,159.0,-52.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,7.953082455322127,-4.354534380836491,-1.3927288458744242
20241113.0,6500760.0,115.0,36.0,35.5090829,128.29465580000002,79.14,-0.5950835347175598,-1.6352375745773315,236.5064239501953,159.0,-52.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,7.953345822190014,-4.355997743769841,-1.3927288458744242
